,project_name,goal,sub_category,main_category,launched,deadline,campaign_length,predicted_bert
56,"""JurassicJurassix"" by The Guilt",850.0,Rock,Music,2015-02-23 00:10:28,2015-04-09 00:10:28,45,Music
57,Safer Home,50000.0,Hardware,Technology,2015-06-03 05:52:43,2015-07-03 05:52:43,30,Technology
58,"Pantochino Productions: ""Cinderella Skeleton, the Musical""",15000.0,Theater,Theater,2011-05-09 15:08:51,2011-07-08 15:08:51,60,Theater
59,"Raise the Woof, expanding the love (Canceled)",15000.0,Design,Design,2015-07-08 21:46:53,2015-08-07 21:46:53,30,Food
60,"""Flying"" Carpets from Azerbaijan, Iran and Turkey/Anatolia",5000.0,Weaving,Crafts,2015-03-30 19:55:31,2015-04-29 19:55:31,30,Crafts
61,Gizbee Unlimited Removable Storage for Your Travel Photos,87000.0,Gadgets,Technology,2016-02-29 20:30:27,2016-03-25 19:30:27,24,Design
62,Diposta - liberating people from their postal mailbox.,100000.0,Web,Technology,2016-07-24 13:18:36,2016-08-23 13:18:36,30,Technology
63,My Future Just Passed - Debut CD - Jazz Trio,4000.0,Jazz,Music,2014-11-03 21:11:44,2014-12-03 21:11:44,30,Music
64,"Loot and Recruit - A quirky, combative, deck building game",13000.0,Tabletop Games,Games,2015-03-10 13:19:18,2015-04-10 05:59:00,30,Games
65,Babe Ruth's Family Kitchen - Gourmet Hot Dogs and Condiments,25000.0,Food,Food,2015-09-08 00:59:36,2015-10-13 00:59:36,35,Food
66,VOTE (anyone but) TRUMP Candle,500.0,Product Design,Design,2016-07-12 17:31:42,2016-08-24 05:59:00,42,Design
67,"""It's Complicated"" by Ariana Salome",68000.0,Ready-to-wear,Fashion,2016-05-10 22:52:00,2016-06-09 22:52:00,30,Theater
68,Secular Solstice 2014,7500.0,Festivals,Theater,2014-10-02 01:50:58,2014-10-27 00:50:58,24,Art
69,Uncommon Rhythm - Season One,29700.0,Film & Video,Film & Video,2013-08-15 11:16:24,2013-09-13 08:55:00,28,Film & Video
70,Legacy of Svarog | a Unique 3D Action RPG and Adventure Game,50000.0,Video Games,Games,2015-08-31 06:33:31,2015-10-30 05:33:31,59,Games
71,ANVIL Beard,2000.0,Fashion,Fashion,2014-12-15 19:13:37,2015-02-06 13:00:00,52,Fashion
72,AWE - Antediluvian Wars: Extermination Tactical Card Game,13000.0,Tabletop Games,Games,2014-08-01 00:02:17,2014-08-31 00:00:00,29,Games
73,Road to the Shire,4000.0,Documentary,Film & Video,2012-01-11 20:13:55,2012-02-14 21:00:00,34,Film & Video
74,Spiral Electric Skylab Recording,500.0,Rock,Music,2015-02-04 18:54:23,2015-02-26 18:54:23,22,Music
75,The Locals Only Shirt,500.0,Fashion,Fashion,2012-05-01 07:11:25,2012-05-18 07:59:00,17,Fashion
76,"""Where is Home?"" Anthology",4000.0,Anthologies,Comics,2014-06-10 00:09:47,2014-07-10 00:09:47,30,Comics
77,"Diet! No thanks, I'd rather lose weight",10000.0,Publishing,Publishing,2016-08-31 18:13:01,2016-10-30 17:13:01,59,Food
78,The Onrust Project and Two Row Treaty of 1613,5000.0,Theater,Theater,2013-04-17 00:58:02,2013-06-16 00:58:02,60,Theater
79,My Coffee Box,3000.0,Drinks,Food,2014-05-17 22:43:36,2014-06-16 22:43:36,30,Food
80,¿Tu Sabes? (You Know?) a music collaboration by Daya & Edu,4500.0,Music,Music,2012-10-30 08:53:03,2012-12-13 00:12:00,43,Music
81,P/O/V Comic and Literary Anthology,4289.0,Comics,Comics,2012-01-21 18:25:26,2012-03-06 18:25:26,45,Comics
82,"""Little Shop of Horrors"" at the Browncoat Theatre!",2000.0,Theater,Theater,2012-06-30 20:05:26,2012-08-14 20:05:26,45,Theater
83,Glyscian Debut Album Recording (Canceled),15000.0,Rock,Music,2012-03-27 04:25:46,2012-05-26 04:25:46,60,Music
84,The Dark Waters Project,10000.0,Indie Rock,Music,2013-02-20 01:48:42,2013-04-07 05:55:00,46,Film & Video
85,Los Angeles International Student Film Festival,1500.0,Film & Video,Film & Video,2014-03-04 17:24:51,2014-04-03 17:24:51,30,Film & Video
86,Bob Contemplates Ending It All,3000.0,Shorts,Film & Video,2013-12-18 20:54:02,2014-01-27 02:00:00,39,Music
87,The Girls Bathroom,2000.0,Webseries,Film & Video,2011-07-06 16:35:45,2011-07-31 06:00:00,24,Film & Video
88,Best Spray Bottle Ever - SureShot,25000.0,Gadgets,Technology,2015-02-05 16:57:21,2015-03-07 16:57:21,30,Design
89,New Lasagna,5000.0,Restaurants,Food,2014-08-18 11:13:15,2014-10-17 11:13:15,60,Food
90,Just Another Reality Show: Season 3,500.0,Webseries,Film & Video,2014-04-10 23:04:22,2014-05-11 23:04:22,31,Film & Video
91,Backroads EP Processing Costs,200.0,Electronic Music,Music,2012-10-11 23:32:24,2012-10-26 23:00:00,14,Music
92,Disaster Area: A Podcast,1000.0,Radio & Podcasts,Publishing,2016-11-28 17:58:04,2016-12-28 17:58:04,30,Journalism
93,Titanium EDC Bottle Opener,500.0,Product Design,Design,2016-10-21 16:23:31,2016-11-20 16:23:31,30,Design
94,Fishtacular - The Ultimate Fishing Tool (Canceled),50000.0,Apps,Technology,2015-04-23 20:04:12,2015-05-25 20:04:12,32,Design
95,"""Eat Like A Gilmore"" Cookbook",20000.0,Cookbooks,Food,2016-03-14 12:39:29,2016-04-17 04:00:00,33,Food
96,PATTY AT THE PARTY - a mumblecore horror feature,5000.0,Webseries,Film & Video,2010-04-29 07:14:32,2010-07-04 21:12:00,66,Film & Video
97,Bold Threadz,5400.0,Fashion,Fashion,2012-08-02 04:47:11,2012-09-20 21:59:00,49,Fashion
98,Happy Fix USA,1750.0,Apparel,Fashion,2014-08-17 17:06:42,2014-10-01 17:06:42,45,Fashion
99,Be part of the next SMB Project album,1000.0,Indie Rock,Music,2012-02-12 17:33:14,2012-03-24 02:00:00,40,Music
100,DAYTRADER - A Financial Board Game,19500.0,Tabletop Games,Games,2013-02-05 16:16:06,2013-03-13 15:16:06,35,Games
101,Mama's Meatballs,100.0,Food,Food,2014-07-08 18:52:26,2014-08-07 18:52:26,30,Food
102,"Ebony Child:Music Artist drops New Album, Comic Book, & Film",10000.0,Pop,Music,2016-04-21 01:46:25,2016-05-21 01:46:25,30,Music
103,Alpha Omega E.P.,1000.0,Metal,Music,2016-09-05 22:34:26,2016-09-30 22:34:26,25,Music
104,The Legendary YD 2016 Tour,6325.0,Hip-Hop,Music,2016-03-19 21:51:03,2016-05-18 19:48:00,59,Music
105,MEMORY LANE  ,20000.0,Documentary,Film & Video,2010-10-09 22:48:40,2010-11-08 22:48:40,30,Film & Video
106,"Jane Brown... a story of courage, survival and love",25000.0,Periodicals,Publishing,2011-10-31 23:01:57,2011-12-31 00:01:57,60,Film & Video
107,CASE:Lynk - Your EMERGENCY iPhone Charge & Sync Cord,125000.0,Product Design,Design,2012-09-06 06:59:37,2012-10-11 06:59:37,35,Design
108,Cat - Pre-Professional Ballerina,3400.0,Dance,Dance,2014-08-07 13:24:34,2014-10-06 13:24:34,60,Dance
109,Wordwright: re·de·fin·ing word play,2000.0,Tabletop Games,Games,2015-11-21 14:12:27,2015-12-29 02:00:00,37,Games
110,SERiNO'S PiZZA ROLLiNG PiZZA LAB (Food Truck),20000.0,Food Trucks,Food,2014-09-01 23:39:19,2014-09-30 23:39:19,29,Food
111,A photobook of life in Japan,3200.0,Photography,Photography,2013-02-12 03:11:43,2013-03-14 02:11:43,29,Photography
112,Operation: Make Stuff,200.0,Video Games,Games,2012-09-18 04:46:06,2012-10-18 04:46:06,30,Film & Video
113,Xi3: Help us Usher in the Post-PC Era,250000.0,Technology,Technology,2012-09-28 09:33:59,2012-10-28 08:33:59,29,Technology
114,help our wood shop buy a lathe & hopefully a laser engraver,650.0,Public Art,Art,2014-10-24 21:50:32,2014-11-13 21:50:32,20,Crafts
115,Spirits Asunder,500.0,Film & Video,Film & Video,2015-03-01 05:52:30,2015-03-31 05:52:30,30,Film & Video
116,Store Facades - Paintings out of Pittsburgh,800.0,Painting,Art,2013-02-28 03:02:09,2013-03-30 02:02:09,29,Art
117,Trackside - Independent documentary featuring Marshals,5000.0,Documentary,Film & Video,2014-01-24 12:49:11,2014-03-02 22:00:00,37,Film & Video
118,"Brandi Emma promotes her new, 5-song EP because of YOU!  Pre-Order Right Here :)",10000.0,Indie Rock,Music,2010-06-12 01:44:53,2010-07-12 08:59:00,30,Music
119,Gantish - Online Reward Chart Creator for Parents,4000.0,Software,Technology,2015-08-17 15:37:03,2015-09-16 15:37:03,30,Technology
120,URBNPOP / CHRIS HAMER SKETCHBOOK,1400.0,Art Books,Publishing,2012-06-18 16:58:21,2012-07-18 16:58:21,30,Comics
121,Sellegg start up classified site,15000.0,Web,Technology,2016-03-02 02:13:52,2016-03-20 19:26:00,18,Technology
122,Farmer Brown's Analogy Farm Game for ages three and above,25000.0,Games,Games,2013-09-27 03:32:14,2013-10-30 02:32:14,32,Games
123,The Seven Rays,3000.0,World Music,Music,2012-02-24 02:52:41,2012-04-09 02:52:41,45,Film & Video
124,David LaRocca: Star Spawn,650.0,Illustration,Art,2015-09-21 14:44:46,2015-10-22 04:30:00,30,Comics
125,Calendars for Cats,1000.0,Photobooks,Photography,2015-11-29 14:56:30,2015-12-29 14:56:30,30,Photography
126,DOGMA - Short Film,750.0,Drama,Film & Video,2015-03-06 15:13:20,2015-03-20 01:00:00,13,Film & Video
127,Project U-Neek,1500.0,Art,Art,2013-04-08 01:06:32,2013-05-08 01:06:32,30,Film & Video
128,Architecture & Design Website,500.0,Architecture,Design,2014-08-29 19:47:50,2014-09-28 19:47:50,30,Design
129,#NotMyPresident Protest Tees,2500.0,Apparel,Fashion,2016-11-22 04:46:10,2016-12-22 04:46:10,30,Fashion
130,Musical Light Suit,6000.0,Hardware,Technology,2011-05-19 09:09:15,2011-06-28 09:09:15,40,Music
131,YA science-fiction/comedy book series: Zeek Kim'lo,10000.0,Young Adult,Publishing,2016-05-17 01:05:02,2016-06-16 01:05:02,30,Publishing
132,Rising Star - Unsigned Artist Compilation Album,600.0,Hip-Hop,Music,2013-01-08 22:32:01,2013-02-22 22:32:01,45,Music
133,HYDRA DICE,12000.0,Games,Games,2012-05-07 07:42:47,2012-06-06 07:42:47,30,Games
134,Islamic World - Strategic gaming with Islamic values,1925.0,Mobile Games,Games,2014-07-20 12:52:57,2014-08-19 12:52:57,30,Games
135,Hangar 1 Foundation,8500.0,Flight,Technology,2014-09-03 19:40:43,2014-10-18 19:40:43,45,Art
136,Adele's Heart is Going to Edinburgh,7500.0,Theater,Theater,2012-05-14 14:33:11,2012-06-18 14:33:11,35,Theater
137,ODIN: Android 'Smart' Projector to Carry in Your Pocket,250000.0,Hardware,Technology,2014-05-28 13:54:18,2014-07-08 05:59:00,40,Technology
138,Jenny's Photography - Start own business and travel!!,500.0,Fine Art,Photography,2014-07-30 18:14:06,2014-08-29 18:14:06,30,Photography
139,Kaleidoscope Man,60000.0,Film & Video,Film & Video,2012-11-15 22:46:18,2012-12-22 03:59:00,36,Film & Video
140,Operación Douve,100.0,Action,Film & Video,2016-03-02 19:09:05,2016-05-01 19:09:05,60,Music
141,42 Sketches 2013,1000.0,Art Books,Publishing,2013-03-18 21:16:10,2013-04-07 22:16:10,20,Art
142,"ADVENT SAGA, DIGITAL TACTICAL CARD GAME",70000.0,Video Games,Games,2014-07-01 16:01:41,2014-07-31 16:01:41,30,Games
143,"Crap Amidst Hilarity, vol. 1",7500.0,Playing Cards,Games,2016-01-22 01:36:45,2016-03-22 00:36:45,59,Games
144,"Packable, Fashionable & Protective; the ULTIMATE sun hat.",36000.0,Fashion,Fashion,2014-05-01 17:36:59,2014-06-07 01:00:00,36,Fashion
145,VoxCube - 8x8x8 RGB LED chainable cubes,129000.0,Makerspaces,Technology,2016-03-02 00:15:02,2016-04-01 00:15:02,30,Technology
146,New world disorder,5000.0,Punk,Music,2016-06-05 18:46:18,2016-07-05 01:46:00,29,Film & Video
147,"""GENERATION FX"" a documentary film.",100000.0,Documentary,Film & Video,2012-10-10 04:57:11,2012-12-09 04:57:11,60,Film & Video
148,"Rack and Ruin, Out of Orbit 3",2500.0,Fiction,Publishing,2015-05-18 21:52:36,2015-06-17 21:52:36,30,Games
149,Help me prepare for an upcoming art show,1200.0,Painting,Art,2016-03-10 21:25:41,2016-04-24 21:25:41,45,Art
150,STREETFIGHTERZ WHEELIE MURICA,6500.0,Film & Video,Film & Video,2014-08-06 21:28:36,2014-09-20 06:59:00,44,Film & Video
151,The Forever Rechargeable Talking Super Capacitor Flashlight,2000.0,Hardware,Technology,2013-09-23 23:36:49,2013-10-23 23:36:49,30,Technology
152,COVENANT,32000.0,Jazz,Music,2014-11-07 18:02:15,2014-12-07 18:02:15,30,Film & Video
153,Elephant Gun Media Blitzkrieg,777.0,Music,Music,2011-10-20 23:51:42,2011-11-04 06:00:00,14,Music
154,Our Shared Stories: An Afghan Diary,7500.0,Anthologies,Publishing,2016-07-06 16:22:04,2016-08-20 16:22:04,45,Publishing
155,The Gentle Art Of Tutelage,50000.0,Narrative Film,Film & Video,2013-01-19 18:38:31,2013-03-20 18:38:31,60,Publishing
156,"Air Bonsai | Create your ""little star""",80000.0,Product Design,Design,2016-01-21 12:18:00,2016-03-01 12:18:00,40,Design
157,"Canadian Invasion's ""Choose Your Own Adventure"" Album",2000.0,Pop,Music,2010-10-26 01:17:27,2010-12-20 05:59:00,55,Music
158,Wrist Covers,9500.0,Product Design,Design,2015-02-23 19:39:59,2015-04-24 19:39:59,60,Design
159,High Stakes: A Short Film,5000.0,Shorts,Film & Video,2013-10-09 21:55:16,2013-11-03 21:55:16,25,Film & Video
160,Fomatek: Foam Laptop Desks & Music Stands Elevate your Gear.,10000.0,Product Design,Design,2015-08-27 22:02:59,2015-09-26 22:02:59,30,Design
161,100 Risings,500.0,Documentary,Film & Video,2014-06-10 10:36:20,2014-07-10 10:36:20,30,Publishing
162,Sky Scrapers Project,50000.0,Tabletop Games,Games,2015-05-17 21:44:40,2015-06-16 21:44:40,30,Film & Video
163,Keys to the Moon's First Full Length Album!,4000.0,Music,Music,2016-09-01 15:32:07,2016-10-01 05:59:00,29,Music
164,Strait Jacket  Tangle Prevention For Headphones,30000.0,Product Design,Design,2016-10-24 03:35:51,2016-11-23 03:35:51,30,Design
165,Worrisome Wilf's Beastly Bedtime,5500.0,Children's Books,Publishing,2013-05-13 13:59:23,2013-06-12 13:59:23,30,Publishing
166,"Airfoil Click Pen: Aviation Inspired, for gel & rollerball",5000.0,Product Design,Design,2014-09-09 20:17:23,2014-10-05 08:00:00,25,Design
167,"VLC for the new Windows 8 User Experience (""Metro"")",40000.0,Software,Technology,2012-11-29 13:54:50,2012-12-29 13:54:50,30,Technology
168,Raise funds for the new JonathanGluck and the Wayward Kind album!,4000.0,Rock,Music,2010-07-30 23:23:15,2010-09-19 05:59:00,50,Music
169,The Spider and the Fly,19650.0,Children's Books,Publishing,2014-06-09 09:10:06,2014-07-09 09:10:06,30,Publishing
170,Knock Down Drag Out,800.0,Shorts,Film & Video,2011-12-09 00:23:22,2012-01-10 05:59:00,32,Film & Video
171,Day of the Dead Tyrion Lannister Calavera Vinyl Stickers,275.0,Illustration,Art,2015-01-03 04:12:23,2015-01-17 04:12:23,14,Art
172,Harold VS The Horde,14000.0,Video Games,Games,2014-12-19 07:49:11,2015-01-18 07:49:11,30,Games
173,Camille Peruto - NEW ALBUM,15000.0,Pop,Music,2016-05-07 00:02:52,2016-07-06 00:02:52,60,Music
174,APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,55000.0,Apps,Technology,2016-11-19 04:05:23,2016-12-21 06:59:00,32,Technology
175,Tye's Photographic Journey.,2500.0,People,Photography,2015-11-12 07:06:24,2015-12-12 07:06:24,30,Photography
176,The Sword of Asumi Visual Novel,2500.0,Video Games,Games,2014-10-19 20:35:23,2014-11-10 11:30:00,21,Games
177,Wax Stacks LP Record Crates,35000.0,Design,Design,2015-06-15 17:55:05,2015-07-15 17:55:05,30,Music
178,The JANIS JOPLIN Project (Canceled),11000.0,Photography,Photography,2012-07-10 02:31:19,2012-08-21 05:09:00,42,Music
179,Strawberry Fields Café and Patisserie,50000.0,Food,Food,2016-12-01 21:16:27,2017-01-23 17:14:00,52,Food
180,Tofu: Stylish T-Shirts that are Made by Freedom,3000.0,Apparel,Fashion,2015-07-22 15:31:10,2015-08-10 05:30:00,18,Fashion
181,American Confines vol 1: Cincinnati in 52,17500.0,Photobooks,Photography,2016-06-20 08:10:03,2016-07-20 05:59:00,29,Comics
182,Good Company,500.0,Shorts,Film & Video,2012-01-28 04:22:17,2012-02-27 04:22:17,30,Film & Video
183,"Launch ""Romeo and Juliet in Yiddish"" in New York City",5000.0,Film & Video,Film & Video,2011-05-17 22:17:10,2011-06-10 22:17:10,24,Theater
184,The Case of the Silent Girl - a dark Sherlock Holmes tale,4450.0,Comics,Comics,2016-06-18 20:16:00,2016-07-18 20:16:00,30,Publishing
185,Chasing Blue at The Trans Theatre Festival,4000.0,Festivals,Theater,2016-04-29 19:53:22,2016-06-01 06:59:00,32,Theater
186,Mooli London | Designer Camera & Tech Bag - The Hampton,15000.0,Product Design,Design,2015-09-04 16:33:23,2015-10-10 00:59:00,35,Design
187,CLOTHING LABEL WITH A 90's STATE OF MIND - MADE IN FRANCE,3286.0,Apparel,Fashion,2016-11-18 18:51:27,2016-12-18 18:51:27,30,Fashion
188,The Ultimate Custom Shark Rig,8000.0,Product Design,Design,2015-03-25 14:58:46,2015-04-24 15:58:46,30,Design
189,Climbing 4 Kidz,38875.0,Film & Video,Film & Video,2014-04-09 22:39:16,2014-05-08 15:37:00,28,Film & Video
190,Tugboat Collective's Inaugural Season,9000.0,Theater,Theater,2012-09-12 05:32:06,2012-10-11 04:00:00,28,Theater
191,Geocaching Trading Cards - History Series II,1500.0,Games,Games,2013-02-01 20:14:41,2013-03-03 20:14:41,30,Games
192,The FUN n' EASY CookBook For Children's Well.....Fun Cooking,3500.0,Publishing,Publishing,2012-11-07 19:53:01,2012-12-09 17:59:00,31,Food
193,Space Trucker,150.0,Video Games,Games,2016-11-08 08:20:27,2016-12-08 08:20:27,30,Games
194,High,5250.0,Documentary,Film & Video,2016-06-02 04:55:34,2016-07-02 04:55:34,30,Film & Video
195,Club Wick3d,300000.0,Video Games,Games,2015-01-22 22:28:42,2015-03-23 21:28:42,59,Technology
196,Modern Handmade Ceramics: Paper & Clay,3000.0,Ceramics,Art,2013-05-10 04:48:33,2013-05-24 04:48:33,14,Art
197,Join me in completing my first Solo Project CD!,2000.0,Pop,Music,2011-08-09 23:19:09,2011-09-30 22:05:00,51,Music
198,Ashley's Beauty Tool Organizer Kit,7000.0,Crafts,Crafts,2014-08-06 21:31:52,2014-08-30 00:59:00,23,Design
199,Quick Query - Relaunch!,750.0,Playing Cards,Games,2014-07-19 19:02:26,2014-08-18 19:02:26,30,Games
200,"Quick, The Clockwork Knight Volume #2",2000.0,Comics,Comics,2014-04-16 05:25:22,2014-06-03 07:59:00,48,Comics
201,WrittenWitheArt,1500.0,Publishing,Publishing,2014-02-04 01:30:08,2014-03-05 19:00:00,29,Technology
202,"Uptown Juice Company: Local, cold-pressed goodness",25000.0,Food,Food,2014-02-25 00:15:17,2014-04-01 08:59:00,35,Food
203,Objecthood: A Story of an Imagined Economy (Canceled),15000.0,Art Books,Publishing,2011-07-22 00:28:16,2011-08-12 18:25:00,21,Publishing
204,Strain Wars: Playing cards,5000.0,Playing Cards,Games,2016-07-16 11:18:43,2016-07-31 11:18:43,15,Games
205,Wood Floor Fundraiser,1200.0,Dance,Dance,2015-08-11 17:13:30,2015-08-16 17:13:30,5,Art
206,Water Purification System Using Solar Evacuated Tube,150.0,Product Design,Design,2016-04-08 23:36:17,2016-04-28 23:36:17,20,Technology
207,Steel Cathedrals- Short poems for the digital age.,4000.0,Poetry,Publishing,2013-06-28 23:17:04,2013-07-28 23:17:04,30,Publishing
208,The Chameleon Chronicles: Colors of Fate,500.0,Fiction,Publishing,2014-12-03 04:26:07,2014-12-23 05:00:00,20,Publishing
209,Once Were Ghosts - Ephemeral 7-Song EP,1000.0,Indie Rock,Music,2011-04-15 09:00:07,2011-06-14 09:00:07,60,Music
210,Via ChicOneClutch,75000.0,Product Design,Design,2015-06-30 03:47:54,2015-08-14 03:47:54,45,Food
211,Afraid So Galileo Album,5500.0,Rock,Music,2016-05-27 11:39:38,2016-06-26 11:39:38,30,Music
